score,n_g2n_nodes,n_sig_kinase,kinase
1,167,124,IRAK2
1,64,87,IGF1R
1,81,60,PIK3CA
1,62,59,IGF1R
1.8383059477723998,128,95,EGFR
1,68,85,SRC
1,47,86,EGFR
1,86,92,FGFR1
1,46,64,FGFR2
1,76,118,ROCK1
1,86,71,ROCK2
6.117406203886005,32,73,ABL1
1,68,69,PIK3CG
1,83,73,FLT4
1,49,86,MAP3K1
1,91,77,SCYL1
1,53,58,MET
3.450175516513896,68,96,MAP4K5
3.336147552306479,53,74,PLK3
28.829258570117055,31,40,CDK4
8.615921817816476,103,107,MAPK14
1,131,80,MET
7.884044486642216,45,55,ABL1
7.723087245612226,47,76,ABL1
1,92,80,FGFR1
1,71,60,FGFR1
4.587075343940679,110,104,ERBB2
1.6115358167140708,73,70,JAK1
2.9697896546732903,85,85,JAK2
1.4491184976224283,83,53,EGFR
1.0737094995528567,59,90,ERBB3
5.833570126242497,26,62,GSK3B
5.833570126242497,26,62,GSK3B
1,47,68,IRAK4
3.1120426257110636,71,64,ERBB2
4.171351565973721,78,94,ERBB2
3.913521461102998,112,85,JAK2
1.0438965194243464,89,87,KIT
1,109,106,PDGFRA
1.5892233248981615,35,36,MET
1,39,42,MAP2K4
1,44,41,TRIM33
8.412270020304096,103,82,ATM
nan,nan,nan,CDK19
nan,nan,nan,CDK8
nan,nan,nan,MELK
nan,nan,nan,TNIK
1.5583870186150741,54,87,BMPR1A
1,56,60,TRPM7
1,32,69,TRPM7
10.406324728156505,105,107,CDK8
1,145,83,PIK3CA
1.4667099407691937,46,76,PLK1
6.702154012980001,86,74,CDK9
1,64,91,FGFR1
2.3029081681874977,60,93,TGFBR1
16.71552900309146,102,106,ATM
1,62,84,LRRK2
1,62,84,LRRK2
9.405888841973688,93,109,ATM
4.045417742901045,42,94,ATM
1.042460560675032,59,80,ERBB3
9.287087340413237,72,85,GSK3A
12.746742963220184,58,69,GSK3B
4.993411546097454,121,94,JAK2
15.339647910217806,47,69,HIPK2
19.215090825567742,90,96,HIPK2
1,53,109,IRAK2
3.259028055594917,71,71,JAK2
1,57,96,MYLK
1,78,59,VRK1
1,36,44,SRC
1,91,84,PTK7
1,53,69,RAGE
4.141945082728081,100,106,HIPK1
7.693284177688313,55,83,JAK2
9.456737557317895,124,75,AKT1
3.1104700642301197,66,100,BTK
1.1427202567503776,85,61,AURKA
2.975787687825192,97,112,CHEK1
2.350084659773826,66,76,CHUK
10.686970086287069,106,82,CDK7
1.705471596466607,65,116,ERBB2
3.9711045567678562,133,113,ERBB2
1.6115581900927312,76,63,ERBB2
1,47,83,ERBB2
2.3786978988360854,85,104,ERBB2
8.183509053161494,102,117,ERBB2
1.1061534862122415,55,71,ERBB2
1.3422493449561206,46,86,ERBB2
13.696520975749555,109,76,ATM
5.289065426392107,59,100,PRKCA
1,62,67,TIE1
8.531891500096318,82,91,CDK5
1.4109280524181127,55,68,STK11
1,79,86,BRAF
1,79,86,BRAF
5.273693360493862,67,99,FGFR3
1,99,70,ERBB3
1,86,88,BRAF
5.0826908985448815,80,114,AURKA
1,91,95,HUNK
2.402193864047181,39,91,TGFBR2
11.632607942057547,104,108,TGFBR2
2.984134368403388,63,81,TGFBR2
4.09619695246165,78,87,TGFBR2
1.9416764703973657,94,87,PDK1
1,48,57,TRIM28
1,44,48,TRIM28
4.9046567602652615,108,119,RAF1
23.530056140240294,121,118,CDK4
1,19,20,IGF1R
1,94,91,IRAK4
7.263188901514333,41,76,RET
12.115849214739898,67,71,GSK3A
9.697669381429613,96,108,GSK3B
16.809849802438755,73,97,GSK3A
6.264964349283056,62,82,GSK3B
3.188928511374864,41,53,GSK3A
13.290213380789954,72,99,GSK3B
1,43,50,SYK
1,87,101,SYK
1,106,77,SYK
1,54,59,ABL1
1,62,75,ILK
1,48,64,ALK
1,46,90,TYK2
1,46,90,TYK2
1,135,98,PIK3CA
1,70,85,SYK
1,93,68,SYK
1,90,80,SYK
1,71,83,SYK
1,71,79,SYK
1,56,62,SYK
1,49,91,SYK
1,125,114,SYK
1,49,50,SYK
1,49,76,SYK
1,84,102,SYK
1,82,95,SYK
1,70,68,SYK
1,104,118,SYK
1,39,44,JAK1
1,39,44,JAK2
1.8189486524622889,58,66,JAK1
8.052371550037346,58,66,JAK2
5.523564677885325,99,77,MAP2K1
4.223217096392458,41,88,CDK8
1,25,47,NTRK2
1,25,47,NTRK3
1,101,105,KSR1
1,72,70,TGFBR1
1,45,59,DDR1
3.456945686380954,98,112,MELK
1,30,76,STK33
2.5902923883333084,62,67,AKT1
1,52,76,MAP3K7
1,53,81,ITK
7.656389314881136,137,92,WEE1
1,87,95,BRD4
1,77,113,BRD4
1,94,98,PDGFRB
1,53,52,ITK
1,66,52,ITK
1,51,62,MYLK
1,45,62,AKT2
1,84,94,MET
1,75,69,MET
1,84,98,MET
1,96,108,MET
1,64,80,MET
10.679322071858214,48,81,MAPK14
8.824837947900047,115,84,MAPK14
4.857137715564906,67,57,CHEK2
1.3531681848212371,91,81,EGFR
7.720851478304746,147,125,EGFR
1,46,56,PLK1
7.6029792655993385,51,84,TBK1
10.142548794623218,30,45,HIPK2
4.01064086959549,51,103,RET
1.6053849859789326,44,54,AKT1
11.837840144657171,76,95,AKT1
5.736597633843557,67,97,AKT1
1,125,132,SRC
7.634833360365243,84,63,HIPK2
3.427599731868985,62,76,RPS6KA3
1,130,106,BRAF
1,28,41,TRIM28
1,119,134,EPHA4
1.0026787904722156,75,135,EPHB2
5.983963658953664,71,85,RAF1
1,43,53,LRRK2
2.7648723842857104,78,85,CDK9
1,82,98,ULK1
1,109,99,ULK1
1,50,81,FLT1
11.969761727606471,106,108,MAP2K1
1,89,87,SNRK
3.039624889404652,119,88,AKT1
1,81,70,TEK
3.9447204723480964,62,89,AURKB
1.9314535964959558,84,72,IKBKB
11.496092711721973,80,61,CDK6
3.538706806399489,47,101,AKT2
1.1475283489748818,59,79,MET
2.1959603869897535,46,72,BTK
1,69,84,MET
1,86,100,MET
1,82,83,MET
1,92,122,MET
14.068682522058719,91,110,ATR
11.869976450222527,85,101,CDK3
9.80769637818593,75,50,CDK8
1.6158432767500113,41,58,CDK8
1.0426243508912907,44,56,MAP3K7
5.174723550840765,42,85,TBK1
1,54,90,SYK
1,90,61,SYK
10.637036851162723,49,81,ABL1
26.34561125000391,103,97,MAPK1
18.037998233248313,42,82,CDK4
4.166671834684715,113,139,CHEK1
1.0626811545594066,31,79,CDK7
17.26432031750259,93,92,CDK2
nan,nan,nan,MAP2K1
nan,nan,nan,AKT1
nan,nan,nan,FGFR3
2.5085164032236773,55,78,FGFR3
1,81,99,FGFR3
1,99,125,PIK3CA
6.247275367762393,44,63,ABL1
3.048417854927909,96,66,AKT1
26.80260809994844,64,84,CDK4
5.487545969373297,58,65,MAPK14
22.114388018643275,75,82,MAPK1
6.754219321501172,63,97,CDK2
3.0816764886419405,157,135,CHEK1
4.837077738470229,96,142,ATR
2.1608045190955787,97,73,AKT1
1,57,66,RAGE
1,62,82,TRIM24
1,35,41,KSR2
7.551995498561729,147,103,RET
1,33,63,IGF1R
1,36,50,TRIM24
1,32,40,TRIM24
1,36,65,EPHA4
1,79,95,CSF1R
1,134,99,MET
2.346592661285292,84,99,MET
1,45,71,MET
1,141,130,ERBB3
6.848418786954442,130,102,CDK9
1,71,92,PRKACB
1,86,96,IRAK1
1.3796990297782399,127,81,CDC7
2.273118882775892,139,107,PLK2
1,96,114,CDK10
1,144,108,PDGFRA
14.275342047294844,128,107,MAPK1
2.155837938602169,46,80,AKT1
2.735795391225071,40,46,AKT1
3.643107926411596,51,60,AKT1
1,106,100,FGFR1
7.842334940783601,47,53,TGFBR2
10.955180967843452,60,81,CDK2
1,99,69,EPHA4
1,32,59,ERBB2
1,48,92,MET
2.1267237855555545,90,93,PDK1
1,91,93,RAGE
8.066110610274714,67,99,PRKACA
4.850578124424292,88,88,AKT1
19.215090825567742,89,73,HIPK2
1.8373180077958597,57,98,JAK1
1,90,112,KDR
1,71,111,CDK19
1,41,30,CDK19
13.68706474134296,91,118,CDK8
7.229967395547889,78,76,CDK8
11.196700499898231,102,82,CDK8
2.803828864989829,73,76,IKBKE
9.853863092269098,124,98,MAPK1
6.685212317896105,130,77,AKT1
1,71,93,IRAK2
1,32,53,IGF1R
1,42,58,PIK3CA
1,66,73,IGF1R
2.1148075113162403,104,82,EGFR
