score,n_g2n_nodes,n_sig_kinase,kinase
5.7010919843100085,76,93,PRKACA
1,58,56,PRKCA
1,68,59,PTK7
4.597844977041115,121,85,RAF1
4.859175862740579,100,118,RET
1,83,59,ROCK1
1,111,91,ROCK2
1.3806265022525055,95,67,RPS6KA3
1,83,77,SNRK
1,88,75,SRC
1.2902344294914079,65,86,STK11
1,50,99,SYK
3.458142398560763,50,56,TBK1
2.3029081681874977,56,61,TGFBR1
5.782677134144525,67,71,TGFBR2
1,107,112,TNIK
2.385508779800023,93,70,TYK2
1,152,79,ULK1
1.9866087784893958,83,74,VRK1
5.23039341639558,120,89,WEE1
1.3287145443288095,30,39,ABL1
5.946209635773794,127,94,AKT1
2.0880998825372505,94,104,AKT2
1.6475227444306133,106,85,ALK
2.322068569283638,46,50,ATM
1.4000161692565132,66,59,ATR
4.613364080792913,134,98,AURKA
2.0520110562106004,111,81,AURKB
1,92,75,BMPR1A
1,84,86,BRAF
2.040662799768414,165,121,BTK
1.3176093210171602,129,82,CDC7
1,63,51,CDK10
1,92,71,CDK19
11.68474287892419,73,77,CDK2
26.955685269126953,87,90,CDK4
2.9707418529179774,57,85,CDK5
3.8902289233067493,66,62,CDK6
5.23074311569845,64,90,CDK7
5.540224769446192,56,79,CDK8
6.924388222130794,136,86,CDK9
2.1448196885381314,78,82,CHEK1
1.9622944063581784,99,95,CHEK2
9.728814505677327,80,90,CHUK
1,138,88,DDR1
1.131364071797616,67,91,EGFR
1,102,108,EPHB2
1.9989278579925858,91,101,ERBB2
1,112,97,ERBB3
1,119,96,FGFR1
1,66,62,FGFR2
1.7730009905039887,135,88,FGFR3
1,74,70,FLT1
1,125,77,FLT4
10.097981511350374,124,111,GSK3A
16.128091338595876,95,119,GSK3B
1.4992025437390095,130,70,HIPK1
1,119,102,IGF1R
2.94105315581088,46,51,IKBKB
2.432476996061926,92,79,IKBKE
1,56,66,ILK
1,87,94,IRAK1
1,73,85,IRAK2
1,57,57,IRAK4
1,43,63,JAK1
4.826156887097758,80,77,JAK2
1,133,73,KDR
1.4908397562763755,68,71,KIT
1,84,92,KSR2
1,88,79,LRRK2
4.123853416412934,110,126,MAP2K1
1.1371982881190115,143,75,MAP2K4
1.9153113138435165,39,70,MAP3K1
1.1382384524505702,113,104,MAP3K7
13.98619784896535,109,72,MAPK1
6.494020249844344,83,82,MAPK14
4.260736957700657,65,73,MELK
1,56,59,MET
1,62,55,MYLK
1,74,71,NTRK3
1,150,105,PDGFRA
1,75,66,PDGFRB
1.9627199351398215,105,97,PDK1
1,60,97,PIK3CA
1,31,46,PIK3CG
1,68,91,PLK1
4.202747402486728,51,94,PLK2
3.050723186566304,54,112,PRKACA
1,46,46,PRKACB
1,87,63,PRKCA
9.854782154142468,96,112,RAF1
5.935079621713863,66,63,RET
1.030349486685547,89,84,ROCK1
1,65,91,ROCK2
5.742427480205697,221,127,RPS6KA3
1,80,97,SNRK
1,54,87,SRC
1,101,82,STK11
1,69,85,STK33
2.701608960254294,74,108,SYK
3.5679940645676265,93,96,TBK1
1,121,106,TEK
1.6871568636605496,97,72,TGFBR1
10.538257508654153,66,62,TGFBR2
3.5296500644317312,65,92,TNIK
1,54,107,TYK2
1,86,77,ULK1
2.1759723371189312,58,58,VRK1
5.680609025880087,86,97,WEE1
7.664841455472263,95,98,ABL1
5.970495663717675,104,100,AKT1
1.30497805165298,80,79,AKT2
1,31,38,ALK
16.771887851789952,126,95,ATM
3.6894815401456476,49,24,ATR
2.3864771264238294,130,66,AURKA
2.330191639092141,131,76,AURKB
1,102,84,BMPR1A
1,131,76,BRAF
1,104,75,BTK
2.099448135974475,44,125,CDC7
1,115,107,CDK10
1,67,73,CDK19
11.760556893944157,36,59,CDK2
20.57445365482467,90,67,CDK4
2.254201811952936,86,76,CDK5
8.07124302863756,85,90,CDK6
8.254415849566676,114,76,CDK7
14.424142100585149,172,118,CDK8
6.642560862494762,43,74,CDK9
5.3873397679721124,59,61,CHEK1
4.678406847323787,118,104,CHEK2
2.9980782929252676,108,80,CHUK
1,110,89,DDR1
1,74,68,EGFR
1,95,113,EPHB2
1.496079293141605,83,88,ERBB2
1,112,82,ERBB3
1,108,76,FGFR1
1,86,81,FGFR2
1,93,84,FGFR3
1,42,60,FLT1
1,133,101,FLT4
4.427891350426805,146,82,GSK3A
10.126893088399106,99,99,GSK3B
1,61,63,IGF1R
3.4075064325318407,87,73,IKBKB
2.3894906133267964,95,76,IKBKE
1,78,69,ILK
1,104,73,IRAK1
1,66,87,IRAK2
1,56,80,IRAK4
3.6548152265665004,88,75,JAK1
7.544786293519827,100,82,JAK2
1,90,71,KDR
1.0438965194243464,104,88,KIT
1,111,91,KSR2
1,92,80,LRRK2
2.1030921862352128,88,86,MAP2K1
1,115,110,MAP2K4
1.1874129984768158,97,97,MAP3K1
4.681485881216193,131,87,MAP3K7
13.271809510340198,130,81,MAPK1
9.442528848557949,123,88,MAPK14
2.349276734633558,41,88,MELK
1,115,109,MET
1,27,51,MYLK
1,174,114,NTRK3
1,87,85,PDGFRA
1,80,72,PDGFRB
1,58,67,PDK1
1,89,63,PIK3CA
1,83,83,PIK3CG
2.5771047401466527,143,105,PLK1
2.6850637735582077,119,104,PLK2
1.4472233836303412,41,74,PRKACA
1,73,95,PRKACB
1.6344811775625274,140,124,PRKCA
1,68,76,PTK7
2.5907534392916447,61,66,RAF1
1.1595449840067935,98,85,RET
1,78,71,ROCK1
1,113,93,ROCK2
4.834166323088307,106,102,RPS6KA3
1,92,92,SNRK
1,123,85,SRC
2.8740730441652698,60,80,STK11
1,91,77,STK33
1,103,103,SYK
2.3147428752563584,82,87,TBK1
1,82,93,TEK
1.9813605596581723,80,83,TGFBR1
8.826002914942302,106,110,TGFBR2
1,113,119,TNIK
1,69,75,TYK2
1,128,93,ULK1
2.2119731435538004,58,63,VRK1
8.241215380989562,113,114,WEE1
7.2142514889705165,67,74,ABL1
4.133068440599621,87,78,AKT1
3.5979426722128727,53,77,AKT2
1.3920535555339468,132,112,ALK
5.335712915332535,78,60,ATM
7.367917469613671,147,86,ATR
3.328076029305754,133,103,AURKA
3.738831337092138,89,68,AURKB
1.642794621202345,62,45,BMPR1A
1,101,69,BRAF
2.1062568277837292,98,85,BTK
1,94,99,CDC7
1,78,100,CDK10
14.662251769297608,63,66,CDK2
28.994778553516486,64,71,CDK4
1.64378984889372,52,111,CDK5
7.698343561027093,101,87,CDK6
1,62,77,CDK7
13.130655973146641,104,103,CDK8
5.834662535715246,53,80,CDK9
7.515271870918298,68,90,CHEK1
6.579031224257538,131,111,CHEK2
4.331236589697763,72,82,CHUK
1,59,61,DDR1
1,140,83,EGFR
1.4076997825166708,47,55,EPHB2
1,61,90,ERBB2
1,129,91,ERBB3
1,67,55,FGFR1
1,82,66,FGFR2
2.432439047148512,62,65,FGFR3
1,60,61,FLT1
1,38,60,FLT4
3.549610369500023,79,65,GSK3A
9.13981541325228,71,99,GSK3B
1,55,82,HIPK1
1,55,59,IGF1R
4.68930216357382,167,121,IKBKB
1.100832425687547,77,69,IKBKE
1.006093962856613,107,106,ILK
1.7562354715778672,121,108,IRAK1
1,51,51,IRAK2
1,153,86,IRAK4
1,108,78,JAK1
6.212398904959022,91,75,JAK2
1,71,73,KDR
1,56,72,KIT
1,136,97,KSR2
1.1249395599588337,103,93,LRRK2
2.7150123842582734,64,61,MAP2K1
1,79,75,MAP2K4
1.5583870186150741,74,71,MAP3K1
1.943764206749871,76,58,MAP3K7
17.91463443934682,93,80,MAPK1
8.833131347912776,100,100,MAPK14
2.408565897321552,34,35,MELK
1,117,90,MET
1,73,96,MYLK
1,69,62,NTRK3
1,81,79,PDGFRA
1,115,113,PDGFRB
1,70,55,PDK1
1,72,80,PIK3CA
1,60,83,PIK3CG
1.3028116314807148,99,103,PLK1
3.088371741209733,77,106,PLK2
1.0763340298305515,58,75,PRKACA
1,85,119,PRKACB
1.2196872846700553,97,96,PRKCA
1,60,62,PTK7
5.249971426340324,60,62,RAF1
7.493128400239558,81,74,RET
1,131,74,ROCK1
1,93,96,ROCK2
4.037606064244908,137,96,RPS6KA3
1,95,71,SNRK
1,79,77,SRC
2.0857233613294306,118,92,STK11
1,119,66,STK33
1,62,63,SYK
1.9948819402683746,104,95,TBK1
1,72,81,TEK
1.3392592668881207,117,81,TGFBR1
8.090451009944758,63,72,TGFBR2
1,78,108,TNIK
1,68,92,TYK2
7.179392544902908,79,79,VRK1
5.925538092034044,78,74,WEE1
10.917778829309226,132,95,ABL1
6.652176052512768,107,88,AKT1
1.9124565025808358,107,102,AKT2
1.977897597434089,71,75,ALK
4.817314241914688,80,53,ATM
11.785002146157549,97,100,ATR
1.000183903300007,29,57,AURKA
4.870776200366848,52,95,AURKB
1,65,103,BMPR1A
1,86,99,BRAF
2.229363277774183,101,78,BTK
2.491830723602931,38,38,CDC7
1,160,83,CDK10
1,85,98,CDK19
27.78047268883261,133,101,CDK2
28.723754084573933,93,69,CDK4
4.062136321063975,95,87,CDK5
5.141202119645533,110,64,CDK6
6.420277625160013,88,67,CDK7
5.707640931002178,56,66,CDK8
7.685787118328024,118,98,CDK9
2.217474653997514,128,65,CHEK1
8.82375461072505,160,81,CHEK2
15.690708440617913,138,120,CHUK
1,44,64,DDR1
2.1523896777925486,104,105,EGFR
1,136,74,EPHB2
1,89,75,ERBB2
1,137,82,ERBB3
1,76,56,FGFR1
1,97,91,FGFR2
1,145,89,FGFR3
1,49,51,FLT1
1,91,78,FLT4
7.024061143233225,128,85,GSK3A
8.714677366737128,92,83,GSK3B
2.417855499866639,50,75,HIPK1
1,70,54,IGF1R
2.9479356043387304,106,82,IKBKB
3.6775549404953773,118,96,IKBKE
1.0037267771542155,31,61,ILK
1.9416764703973657,104,86,IRAK1
1,95,56,IRAK2
1,60,78,IRAK4
3.128190929751507,102,104,JAK1
4.775121226926718,85,59,JAK2
1,88,88,KDR
2.0812984241657397,29,56,KIT
1,139,77,KSR2
2.4313012170494805,124,120,LRRK2
1.213599166720174,74,71,MAP2K1
2.2348561271298837,145,98,MAP2K4
1,34,39,MAP3K1
2.79166358700372,45,65,MAP3K7
15.198689634496755,61,94,MAPK1
4.607636859870663,110,101,MAPK14
2.0181249303457083,61,78,MELK
1,152,82,MET
1,75,94,MYLK
1,91,76,NTRK3
1,77,91,PDGFRA
1,107,86,PDGFRB
1,91,70,PDK1
1,40,48,PIK3CA
1,118,68,PIK3CG
1,40,83,PLK1
1.1318554858150154,114,114,PLK2
4.812278506951401,112,107,PRKACA
1,120,117,PRKACB
1,80,75,PRKCA
1,125,104,PTK7
3.9265015155872574,78,88,RAF1
5.565584798509237,79,76,RET
1.0990982173199157,85,96,ROCK1
1,83,72,ROCK2
6.239731303443455,120,96,RPS6KA3
1,80,69,SNRK
1,126,68,SRC
1,67,63,STK11
1,126,119,STK33
1,85,78,SYK
1,105,91,TBK1
1,75,59,TEK
1,97,119,TGFBR1
5.58946174353821,113,97,TGFBR2
1,122,105,TNIK
3.7020549741462716,66,75,TYK2
1,94,67,ULK1
7.578617067899107,63,103,VRK1
6.141028752338215,70,58,WEE1
8.712586904998336,75,64,ABL1
9.427178051202729,64,57,AKT1
1.1211676659482621,98,123,AKT2
1.947253789833284,74,64,ALK
12.843025591556694,83,107,ATM
6.658104676547907,98,110,ATR
4.360825651075024,118,89,AURKA
4.796676484351169,74,61,AURKB
1,155,105,BMPR1A
1,64,81,BRAF
1.255508700348954,103,110,BTK
1,177,112,CDC7
1,93,138,CDK10
1,70,59,CDK19
7.968097981522518,70,80,CDK2
10.578025655406,61,48,CDK4
1.3124673109397653,54,54,CDK5
1.93679441674537,52,55,CDK6
9.088567194481016,102,110,CDK7
12.907216925354552,102,105,CDK8
11.020819594517379,131,134,CDK9
2.3278726845787343,124,103,CHEK1
8.16394809952603,76,105,CHEK2
6.524787232198457,59,99,CHUK
1,164,126,DDR1
1,81,89,EGFR
1,123,84,EPHB2
6.404971226414222,88,91,ERBB2
1,70,66,ERBB3
1,137,102,FGFR1
1,84,104,FGFR2
1,66,83,FGFR3
1,63,45,FLT1
1,140,113,FLT4
1,55,35,GSK3A
14.76538937951013,78,106,GSK3B
1.7749689221112002,95,102,HIPK1
1,92,77,IGF1R
3.44221138847333,89,81,IKBKB
3.599461716182783,116,115,IKBKE
1,62,35,ILK
2.329172785787641,71,101,IRAK1
1,99,83,IRAK2
1,38,40,IRAK4
1.3032902721096675,107,128,JAK1
4.441624229128405,95,92,JAK2
1,62,53,KDR
1.0734886328406383,96,71,KIT
1,43,71,KSR2
1.186843988812735,90,85,LRRK2
1,49,52,MAP2K1
2.0477310850405406,69,116,MAP2K4
1,54,49,MAP3K1
1.9167216759847614,69,58,MAP3K7
15.7210154788931,107,108,MAPK1
5.595150680599314,65,81,MAPK14
5.65649650205803,118,104,MELK
1,131,102,MET
1,75,76,MYLK
1,88,122,NTRK3
1,62,66,PDGFRA
1,50,61,PDGFRB
1.9416764703973657,113,106,PDK1
1,82,88,PIK3CA
1,98,90,PIK3CG
2.7349835893273977,70,74,PLK1
4.789420124359444,115,96,PLK2
7.1404209292104825,91,99,PRKACA
1,27,39,PRKACB
2.672917833145876,89,97,PRKCA
1,83,139,PTK7
2.4827983172445913,64,73,RAF1
4.098177269204239,58,58,RET
1,83,101,ROCK1
1,139,73,ROCK2
6.34335654636821,110,100,RPS6KA3
1,130,98,SNRK
1,62,85,SRC
5.185471855536905,124,129,STK11
1,83,77,STK33
1,75,69,SYK
6.625117425338953,121,103,TBK1
1,49,54,TEK
3.0489244435475453,173,131,TGFBR1
7.083062213498193,88,99,TGFBR2
1,73,76,TNIK
1.3277439596133638,155,105,TYK2
1,85,91,ULK1
4.141945082728081,99,95,VRK1
6.014880362511407,84,76,WEE1
3.1002199430949156,70,76,ABL1
12.717320727875181,122,111,AKT1
1,132,89,AKT2
2.094740223405245,70,66,ALK
14.343612999139099,221,129,ATM
1,55,49,ATR
1,73,69,AURKA
8.196262943208744,92,110,AURKB
1,68,54,BMPR1A
1,136,146,BRAF
1.8861475952515594,113,105,BTK
1,164,101,CDK10
1,71,97,CDK19
7.57182987627843,99,106,CDK2
22.145845013544836,49,97,CDK4
3.0407259069489987,67,98,CDK5
2.8098194802539656,130,109,CDK6
5.046136921599263,111,116,CDK7
11.882251539596854,84,110,CDK8
10.353857556202193,67,77,CDK9
4.739035813685564,169,126,CHEK1
2.1463611994618232,97,98,CHEK2
11.974316390257574,152,126,CHUK
1,133,93,DDR1
4.1696877421285174,88,97,EGFR
1,61,74,EPHB2
2.5015302122070593,58,46,ERBB2
1,97,97,ERBB3
1,62,71,FGFR1
1,83,81,FGFR2
2.3622884249051217,61,71,FGFR3
1,77,77,FLT1
1,110,109,FLT4
1,94,79,GSK3A
13.503016834627301,71,102,GSK3B
1,70,66,HIPK1
1,115,80,IGF1R
2.1229085885635324,75,85,IKBKB
3.080819158030578,69,79,IKBKE
1.1365945625434977,179,121,ILK
1,78,87,IRAK2
1,84,94,IRAK4
3.1478274448534553,111,82,JAK1
1,60,82,JAK2
1,63,87,KDR
2.7941803055560146,85,105,KIT
1,76,86,KSR2
1.357242855103331,72,108,LRRK2
6.765155601180817,80,105,MAP2K1
1.181667431494931,41,78,MAP2K4
1.607941113052257,60,77,MAP3K1
4.826156887097758,75,77,MAP3K7
16.5604840073438,99,79,MAPK1
3.594258230853975,77,75,MAPK14
4.362930709708072,61,100,MELK
1,56,40,MET
1,138,112,MYLK
1,72,75,NTRK3
1,142,113,PDGFRA
1,72,65,PDGFRB
1.739811016637103,119,111,PDK1
1,58,99,PIK3CA
1,80,105,PIK3CG
1,78,71,PLK1
1.325739944709314,92,65,PLK2
3.613642033267836,63,67,PRKACA
1,66,80,PRKACB
1,78,71,PRKCA
1,100,99,PTK7
4.193900759851113,76,88,RAF1
1.446727987828791,64,72,RET
1,120,91,ROCK1
1,31,58,ROCK2
8.167977779540546,156,130,RPS6KA3
1,105,112,SNRK
1,66,73,SRC
1,105,88,STK11
1,44,85,STK33
1,41,61,SYK
1.168123387501275,59,75,TBK1
1,81,82,TEK
3.2500282632861017,35,57,TGFBR1
11.871828965253119,156,120,TGFBR2
1,66,54,TNIK
1.7810026828517183,74,56,TYK2
1,58,66,ULK1
5.137390844586173,187,100,VRK1
1,68,69,WEE1
6.1627525779149135,129,92,ABL1
5.158535029459497,102,83,AKT1
3.6699548759349185,129,124,AKT2
2.3174750501758763,52,50,ALK
10.350199465763058,116,106,ATM
10.988689174501598,111,115,ATR
2.944288186094959,111,114,AURKA
4.573574700716234,111,113,AURKB
1,64,64,BMPR1A
1,71,87,BRAF
2.4786881428726217,151,114,BTK
1,80,83,CDC7
1,115,111,CDK10
1,34,71,CDK19
16.345922082497403,151,136,CDK2
16.167880534666992,104,106,CDK4
1.6899454994937062,60,74,CDK5
6.488945985099821,152,127,CDK6
6.591130594967539,161,121,CDK7
11.64344324673635,86,86,CDK8
5.898619494029213,53,62,CDK9
8.245827278577334,129,115,CHEK1
4.02020651586249,149,133,CHEK2
10.537997230006239,142,123,CHUK
1,111,91,DDR1
2.6655149000068614,89,102,EGFR
1,43,60,EPHB2
2.4593085707168516,121,115,ERBB2
1,115,114,ERBB3
1,63,66,FGFR1
1,67,64,FGFR2
1,82,83,FGFR3
1,53,91,FLT1
1,174,92,FLT4
2.0813610326152503,60,80,GSK3A
22.846449287091502,54,92,GSK3B
1,98,105,HIPK1
1,86,103,IGF1R
3.104409587467265,174,106,IKBKB
2.721664966083017,73,93,IKBKE
1.260655126972339,90,60,ILK
1,24,53,IRAK1
1,176,115,IRAK2
1,48,85,IRAK4
1.8561024575676173,61,45,JAK1
2.4974329280201846,102,83,JAK2
1,122,71,KDR
1.0156177145821441,108,102,KIT
1,45,69,KSR2
1,135,132,LRRK2
1.9872357985597886,96,111,MAP2K1
1.3900266383740143,122,108,MAP2K4
1,82,85,MAP3K1
5.204803176447718,129,93,MAP3K7
9.895502253935458,69,57,MAPK1
14.744233383718502,67,97,MAPK14
5.091272887277387,127,116,MELK
1,57,79,MET
1,74,84,MYLK
1,76,96,NTRK3
1,35,41,PDGFRA
1,72,76,PDGFRB
2.236647808397434,82,78,PDK1
1,72,93,PIK3CA
1,85,108,PIK3CG
1,84,61,PLK1
