BMPR2,19,0.0023755938984746186,2,0.025,0.02262440610152538,0.018006490777594166,-1.9665774293550946,7.8997867400854185,KIAA1462;ARHGEF12
PKA-A,20,0.002500625156289072,2,0.025,0.02249937484371093,0.01968137358847063,-2.0,7.856165187263086,CSF2RB;DCX
HSPA5,1,1.2503125781445363E-4,1,0.0125,0.012374968742185547,0.019710018725245502,-2.0,7.8532564155602715,HSPA5
COL4A3BP,1,1.2503125781445363E-4,1,0.0125,0.012374968742185547,0.019710018725245502,-2.0,7.8532564155602715,COL4A3
MOK,26,0.003250812703175794,2,0.025,0.021749187296824207,0.0310013864391769,-2.0,6.947446703305312,LPHN3;WDPCP
LKB1,29,0.0036259064766191547,2,0.025,0.021374093523380846,0.03741913249451842,-2.0,6.571146282682723,LPHN3;SNRK
CHAK2,5,6.25156289072268E-4,1,0.0125,0.011874843710927733,0.05798626362491058,-2.0,5.695098261077193,DCT
ROS1,18,0.002250562640660165,2,0.025,0.022749437359339836,0.016395770874872324,-1.33340478122126,5.481269504295863,KIAA1462;PAX2
PKC-Z,10,0.001250312578144536,1,0.0125,0.011249687421855465,0.10376178504484027,-2.0,4.531315071057268,CASP9
PRKACB,30,0.0037509377344336083,2,0.025,0.021249062265566394,0.03966223351074023,-1.389444489616149,4.484231789332671,DNAJC6;TTC3
ACTR2B,14,0.0017504376094023505,1,0.0125,0.01074956239059765,0.13879462523857872,-2.0,3.94951990944837,ZFYVE16
IKBKB,89,0.011127781945486371,3,0.0375,0.026372218054513626,0.06274597148067707,-1.3064299798001555,3.617061606981743,CYLD;HSPA5;EIF2AK3
MYLK3,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,WDPCP
SRPK3,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,YPEL2
STK33,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,WDPCP
DYRK4,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,LRRC37A3
NEK10,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,DYNLRB2
TBCK,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,WDPCP
STK32C,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,LRRC37A3
STK32A,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,ZFYVE16
ALPK1,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,WDPCP
NEK5,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,WDPCP
RPS6KL1,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,WDPCP
CDKL3,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,WDPCP
CDKL4,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,DYNLRB2
PEAK1,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,WDPCP
EPHA10,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,AASDH
SBK2,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,MYOT
CDK15,18,0.002250562640660165,1,0.0125,0.010249437359339836,0.1724745294375574,-2.0,3.515011417694619,WDPCP
PKDCC,19,0.0023755938984746186,1,0.0125,0.010124406101525383,0.18068920094503485,-2.0,3.4219536910209953,FBXW8
PKCETA,19,0.0023755938984746186,1,0.0125,0.010124406101525383,0.18068920094503485,-2.0,3.4219536910209953,F11R
CDK17,19,0.0023755938984746186,1,0.0125,0.010124406101525383,0.18068920094503485,-2.0,3.4219536910209953,C20ORF194
AAK1,20,0.002500625156289072,1,0.0125,0.00999937484371093,0.18882333645255112,-2.0,3.333886857634382,WDPCP
TTBK2,20,0.002500625156289072,1,0.0125,0.00999937484371093,0.18882333645255112,-2.0,3.333886857634382,LRRC37A3
GSK3B,1668,0.20855213803450862,22,0.275,0.0664478619654914,0.09677169048756516,-1.4127640261227055,3.299370210135832,F11R;SATB2;STK38;PTGS2;SMAD4;BBX;UBN2;ARHGEF12;CHD9;PHF3;FBXW8;CASP9;DCP1A;DNAJC6;VPS13A;VCAN;LRCH3;DCX;KAT6B;EIF2AK3;ZNF493;AASDH
VRK2,22,0.0027506876719179795,1,0.0125,0.009749312328082021,0.2048531107149295,-2.0,3.1709241795483343,PSME2
SIK2,25,0.0031257814453613405,1,0.0125,0.00937421855463866,0.22831300318823908,-2.0,2.9540755409677235,KIAA1462
PKBGAMMA,28,0.003500875218804701,1,0.0125,0.0089991247811953,0.25108913781642445,-2.0,2.763894544303246,CASP9
DNAPK,108,0.01350337584396099,2,0.025,0.011496624156039012,0.2974366229453173,-2.0,2.425108217615195,XPA;SMAD4
PKG1CGKI,36,0.00450112528132033,1,0.0125,0.007998874718679671,0.30863060745564636,-2.0,2.351220324652506,TRPC6
MTOR,112,0.014003500875218804,2,0.025,0.010996499124781197,0.31210987388743355,-2.0,2.3287999865415525,FBXW8;DLG5
UHMK1,29,0.0036259064766191547,2,0.025,0.021374093523380846,0.03741913249451842,-0.6747230684123501,2.2168519914190474,OTULIN;SMAD4
